Hujan ADC;Hujan %;Status Hujan;Soil ADC;Soil %;Status Soil%;accel_magnitude;gyro_magnitude;pitch;roll;status mpu;Label
978;76.0;Hujan;1133;72.0;Basah;1.779;344.21;-19.73;-17.47;GETARAN_KUAT;Bahaya
988;75.0;Hujan;1133;72.0;Basah;503;397.88;-28.37;-147.12;GETARAN_KUAT;Bahaya
985;75.0;Hujan;1123;72.0;Basah;1.232;200.34;16.53;-163.61;GETARAN_KUAT;Bahaya
988;75.0;Hujan;1134;72.0;Basah;2.729;312.38;-11.75;11.17;GETARAN_KUAT;Bahaya
986;75.0;Hujan;1135;72.0;Basah;519;400.89;-54.77;21.82;GETARAN_KUAT;Bahaya
981;76.0;Hujan;1137;72.0;Basah;377;315.62;-43.24;-3.42;GETARAN_KUAT;Bahaya
985;75.0;Hujan;1129;72.0;Basah;500;175.76;-38.37;166.43;GETARAN_KUAT;Bahaya
983;75.0;Hujan;1131;72.0;Basah;771;532.22;39.53;27.71;GETARAN_KUAT;Bahaya
985;75.0;Hujan;1120;72.0;Basah;1.961;260.32;-60.00;15.76;GETARAN_KUAT;Bahaya
843;79.0;Hujan;1133;72.0;Basah;2.454;182.54;60.44;-10.10;GETARAN_KUAT;Bahaya
883;78.0;Hujan;1131;72.0;Basah;2.430;449.87;-35.49;-21.02;GETARAN_KUAT;Bahaya
910;77.0;Hujan;1131;72.0;Basah;2.852;162.60;-44.83;-20.27;GETARAN_KUAT;Bahaya
921;77.0;Hujan;1133;72.0;Basah;1.431;271.59;82.26;-35.20;GETARAN_KUAT;Bahaya
931;77.0;Hujan;1131;72.0;Basah;1.127;299.97;81.17;-88.30;GETARAN_KUAT;Bahaya
944;76.0;Hujan;1130;72.0;Basah;3.719;151.42;-45.85;-16.21;GETARAN_KUAT;Bahaya
960;76.0;Hujan;1130;72.0;Basah;1.538;407.09;-14.55;08.03;GETARAN_KUAT;Bahaya
953;76.0;Hujan;1131;72.0;Basah;549;323.33;43.55;-64.85;GETARAN_KUAT;Bahaya
958;76.0;Hujan;1127;72.0;Basah;2.487;155.23;86.76;65.70;GETARAN_KUAT;Bahaya
972;76.0;Hujan;1131;72.0;Basah;1.659;172.79;84.76;93.61;GETARAN_KUAT;Bahaya
961;76.0;Hujan;1135;72.0;Basah;2.226;313.07;-41.36;-14.90;GETARAN_KUAT;Bahaya
970;76.0;Hujan;1130;72.0;Basah;1.344;158.08;70.45;42.78;GETARAN_KUAT;Bahaya
976;76.0;Hujan;1125;72.0;Basah;1.720;357.92;-60.26;-57.90;GETARAN_KUAT;Bahaya
978;76.0;Hujan;1130;72.0;Basah;2.174;213.23;-68.40;-49.50;GETARAN_KUAT;Bahaya
974;76.0;Hujan;1125;72.0;Basah;2.100;338.65;-49.57;-29.78;GETARAN_KUAT;Bahaya
983;75.0;Hujan;1134;72.0;Basah;785;455.24;-24.98;-5.36;GETARAN_KUAT;Bahaya
981;76.0;Hujan;1131;72.0;Basah;812;469.88;43.56;31.65;GETARAN_KUAT;Bahaya
986;75.0;Hujan;1132;72.0;Basah;1.427;431.80;-54.73;1.85;GETARAN_KUAT;Bahaya
785;80.0;Hujan;1130;72.0;Basah;2.902;423.51;-72.62;-55.91;GETARAN_KUAT;Bahaya
809;80.0;Hujan;1131;72.0;Basah;1.004;3.55;0.15;-2.97;STABIL;Waspada
865;78.0;Hujan;1125;72.0;Basah;1.006;3.68;0.57;-3.14;STABIL;Waspada
880;78.0;Hujan;1131;72.0;Basah;1.005;3.54;0.39;-2.78;STABIL;Waspada
895;78.0;Hujan;1128;72.0;Basah;1.009;3.72;0.32;-2.72;STABIL;Waspada
909;77.0;Hujan;1129;72.0;Basah;1.004;3.59;0.29;-2.94;STABIL;Waspada
912;77.0;Hujan;1131;72.0;Basah;998;3.52;0.22;-3.06;STABIL;Waspada
922;77.0;Hujan;1126;72.0;Basah;1.005;3.68;0.28;-3.09;STABIL;Waspada
933;77.0;Hujan;1127;72.0;Basah;1.000;3.65;0.49;-3.11;STABIL;Waspada
943;76.0;Hujan;1246;69.0;Basah;1.001;3.42;0.29;-3.16;STABIL;Waspada
913;77.0;Hujan;1185;71.0;Basah;998;3.72;0.38;-2.96;STABIL;Waspada
921;77.0;Hujan;1181;71.0;Basah;1.002;3.54;-0.82;3.83;STABIL;Waspada
925;77.0;Hujan;1179;71.0;Basah;998;3.28;-1.07;3.80;STABIL;Waspada
931;77.0;Hujan;1180;71.0;Basah;1.008;3.50;-1.15;3.49;STABIL;Waspada
800;80.0;Hujan;1185;71.0;Basah;1.000;3.36;-1.11;3.75;STABIL;Waspada
1223;70.0;Hujan;1181;71.0;Basah;1.001;3.70;-1.20;3.64;STABIL;Waspada
1117;72.0;Hujan;1162;71.0;Basah;1.004;3.48;-1.13;3.43;STABIL;Bahaya
1268;69.0;Hujan;1177;71.0;Basah;1.005;3.33;-0.93;3.87;STABIL;Bahaya
1034;74.0;Hujan;1178;71.0;Basah;1.004;3.42;-1.14;3.49;STABIL;Bahaya
977;76.0;Hujan;1179;71.0;Basah;999;3.61;-1.13;3.72;STABIL;Bahaya
1013;75.0;Hujan;1171;71.0;Basah;1.004;3.36;-1.06;3.92;STABIL;Bahaya
1040;74.0;Hujan;1174;71.0;Basah;1.001;3.32;-1.13;3.60;STABIL;Bahaya
1056;74.0;Hujan;1169;71.0;Basah;995;3.32;-1.15;3.85;STABIL;Bahaya
1067;73.0;Hujan;1177;71.0;Basah;1.000;3.59;-1.06;3.79;STABIL;Bahaya
1070;73.0;Hujan;1174;71.0;Basah;1.003;3.33;-1.05;3.47;STABIL;Bahaya
1069;73.0;Hujan;1173;71.0;Basah;1.003;3.53;-1.27;3.36;STABIL;Bahaya
1071;73.0;Hujan;1174;71.0;Basah;1.003;3.53;-3.66;-4.94;STABIL;Bahaya
1069;73.0;Hujan;1153;71.0;Basah;997;03.02;-3.24;-4.88;STABIL;Bahaya
1075;73.0;Hujan;1141;72.0;Basah;1.002;3.55;-3.44;-4.72;STABIL;Bahaya
1079;73.0;Hujan;1136;72.0;Basah;1.006;3.57;6.20;1.19;STABIL;Bahaya
1074;73.0;Hujan;1136;72.0;Basah;993;4.55;-7.06;-53.73;STABIL;Bahaya
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
