Hujan ADC;Hujan %;Status Hujan;Soil ADC;Soil %;Status Soil%;accel_magnitude;gyro_magnitude;pitch;roll;status mpu;Label
1488;63.0;Gerimis;3274;20.0;Kering;1.004;3.48;-1.13;3.43;STABIL;Aman
1478;63.0;Gerimis;3287;19.0;Kering;1.005;3.33;-0.93;3.87;STABIL;Aman
1466;64.0;Gerimis;3299;19.0;Kering;1.004;3.42;-1.14;3.49;STABIL;Aman
1467;64.0;Gerimis;3269;20.0;Kering;999;3.61;-1.13;3.72;STABIL;Aman
1461;64.0;Gerimis;3290;19.0;Kering;1.004;3.36;-1.06;3.92;STABIL;Aman
1456;64.0;Gerimis;1954;52.0;Lembab;955;78.19;01.07;-0.15;GETARAN_RINGAN;Waspada
1455;64.0;Gerimis;1967;51.0;Lembab;1.041;61.01;-3.48;-1.90;GETARAN_RINGAN;Waspada
1444;64.0;Gerimis;1964;52.0;Lembab;1.084;23.41;8.42;-5.21;GETARAN_RINGAN;Waspada
1441;64.0;Gerimis;1962;52.0;Lembab;985;49.74;-28.11;-8.28;GETARAN_RINGAN;Waspada
1436;64.0;Gerimis;1961;52.0;Lembab;739;147.07;-12.39;-11.40;GETARAN_RINGAN;Waspada
1439;64.0;Gerimis;1965;52.0;Lembab;1.583;23.49;42.49;-17.06;GETARAN_RINGAN;Waspada
1439;64.0;Gerimis;1951;52.0;Lembab;953;91.46;-27.56;-8.07;GETARAN_RINGAN;Waspada
